principal_diagnostic,icd_code
Cólera,A00
"Cólera debido a Vibrio cholerae O1, biotipo cholerae",A000
"Cólera debido a Vibrio cholerae O1, biotipo El Tor",A001
"Cólera, no especificado",A009
Fiebres tifoidea y paratifoidea,A01
Fiebre tifoidea,A010
Fiebre paratifoidea A,A011
Fiebre paratifoidea B,A012
Fiebre paratifoidea C,A013
"Fiebre paratifoidea, no especificada",A014
Otras infecciones debidas a Salmonella,A02
Enteritis debida a Salmonella,A020
Septicemia debida a Salmonella,A021
Infecciones localizadas debidas a Salmonella,A022
Otras infecciones especificadas como debidas a Salmonella,A028
"Infección debida a Salmonella, no especificada",A029
Shigelosis,A03
Shigelosis debida a Shigella dysenteriae,A030
Shigelosis debida a Shigella flexneri,A031
Shigelosis debida a Shigella boydii,A032
Shigelosis debida a Shigella sonnei,A033
Otras shigelosis,A038
Shigelosis de tipo no especificado,A039
Otras infecciones intestinales bacterianas,A04
Infección debida a Escherichia coli enteropatógena,A040
Infección debida a Escherichia coli enterotoxígena,A041
Infección debida a Escherichia coli enteroinvasiva,A042
Infección debida a Escherichia coli enterohemorrágica,A043
Otras infecciones intestinales debidas a Escherichia coli,A044
Enteritis debida a Campylobacter,A045
Enteritis debida a Yersinia enterocolitica,A046
Enterocolitis debida a Clostridium difficile,A047
Otras infecciones intestinales bacterianas especificadas,A048
"Infección intestinal bacteriana, no especificada",A049
"Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte",A05
Intoxicación alimentaria estafilocócica,A050
Botulismo,A051
Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii],A052
Intoxicación alimentaria debida a Vibrio parahaemolyticus,A053
Intoxicación alimentaria debida a Bacillus cereus,A054
Otras intoxicaciones alimentarias debidas a bacterias especificadas,A058
"Intoxicación alimentaria bacteriana, no especificada",A059
Amebiasis,A06
Disentería amebiana aguda,A060
Amebiasis intestinal crónica,A061
Colitis amebiana no disentérica,A062
Ameboma intestinal,A063
Absceso amebiano del hígado,A064
Absceso amebiano del pulmón (J99.8),A065
Absceso amebiano del cerebro (G07),A066
Amebiasis cutánea,A067
Infección amebiana de otras localizaciones,A068
"Amebiasis, no especificada",A069
Otras enfermedades intestinales debidas a protozoarios,A07
Balantidiasis,A070
Giardiasis [lambliasis],A071
Criptosporidiosis,A072
Isosporiasis,A073
Otras enfermedades intestinales especificadas debidas a protozoarios,A078
"Enfermedad intestinal debida a protozoarios, no especificada",A079
